ID_,N_PATIO,N_REGISTRO,NOM_COMUN,NOM_CIENTIFICO,ESPECIE,OPERADOR,Latitudes,Longitudes,PROPIEDAD,Status,DAP_CM,ALTURA_M,RADIO_M,TIPO_PODA,TRATAMIENTO,OBSERVACIONES
,1,1,FALSA ACACIA,,INTRODUCIDA,ISAAC,-33.41747400,-70.651817,CEMENTERIO,BUENO,,,,,,
,1,2,FALSA ACACIA,,INTRODUCIDA,ISAAC,-33.41738400,-70.651982,SEPULTURA,BUENO,,,,,,
,1,3,FALSA ACACIA,,INTRODUCIDA,ISAAC,-33.41736200,-70.651925,CEMENTERIO,BUENO,,,,,,
,1,4,PIMIENTO BOLIVIANO,,INTRODUCIDA,ISAAC,-33.41736900,-70.651843,CEMENTERIO,BUENO,,,,,,
,1,5,CASUARINA,,INTRODUCIDA,DANILO,-33.41728600,-70.652131,CEMENTERIO,REGULAR,,,,,,
,1,6,CASUARINA,,INTRODUCIDA,DANILO,-33.41732100,-70.652105,CEMENTERIO,REGULAR,,,,,,
,1,7,CIPRES MEDITERRANEO,,INTRODUCIDA,DANILO,-33.41736100,-70.651984,CEMENTERIO,BUENO,,,,,,
,1,8,NARANJO,,INTRODUCIDA,DANILO,-33.41741000,-70.652081,CEMENTERIO,BUENO,,,,,,
,1,9,CIPRES MEDITERRANEO,,INTRODUCIDA,DANILO,-33.41732700,-70.652149,CEMENTERIO,BUENO,,,,,,
,1,10,CIPRES MEDITERRANEO,,INTRODUCIDA,DANILO,-33.41737100,-70.652152,CEMENTERIO,BUENO,,,,,,
,1,11,ACASIA JAPONICA,,INTRODUCIDA,MARIA,-33.41727500,-70.651950,SEPULTURA,BUENO,,,,,,
,1,12,FALSA ACACIA,,INTRODUCIDA,MARIA,-33.41727100,-70.651950,SEPULTURA,BUENO,,,,,,
,1,13,PIMIENTO BOLIVIANO,,INTRODUCIDA,MARIA,-33.41729400,-70.651831,SEPULTURA,BUENO,,,,,,
,1,14,PIMIENTO BOLIVIANO,,INTRODUCIDA,MARIA,-33.41726600,-70.651881,SEPULTURA,BUENO,,,,,,
,1,15,FALSA ACACIA,,INTRODUCIDA,MARIA,-33.41729300,-70.651763,SEPULTURA,BUENO,,,,,,
,1,16,CELTIS,,INTRODUCIDA,MARIA,-33.41725500,-70.651778,SEPULTURA,BUENO,,,,,,
,1,17,PALMERA CANARIA,,INTRODUCIDA,MARIA,-33.41724100,-70.651794,SEPULTURA,BUENO,,,,,,
,1,18,CIPRES MEDITERRANEO,,INTRODUCIDA,MARIA,-33.41723800,-70.651882,CEMENTERIO,REGULAR,,,,,,
,1,19,LIGUSTRO,,INTRODUCIDA,CAMILO,-33.41726600,-70.652090,SEPULTURA,REGULAR,,,,,,
,1,20,JACARANDA,,INTRODUCIDA,CAMILO,-33.41730900,-70.652001,CEMENTERIO,BUENO,,,,,,
,1,21,CIPRES MEDITERRANEO,,INTRODUCIDA,CAMILO,-33.41732600,-70.652006,CEMENTERIO,BUENO,,,,,,
,1,22,ARCE,,INTRODUCIDA,CAMILO,-33.41725100,-70.651973,CEMENTERIO,REGULAR,,,,,,
,1,23,CIPRES MEDITERRANEO,,INTRODUCIDA,CAMILO,-33.41719100,-70.651905,CEMENTERIO,BUENO,,,,,,
,1,24,FALSA ACACIA,,INTRODUCIDA,CAMILO,-33.41717200,-70.652002,CEMENTERIO,BUENO,,,,,,
,1,25,CIPRES MEDITERRANEO,,INTRODUCIDA,CAMILO,-33.41715400,-70.652037,CEMENTERIO,BUENO,,,,,,
,1,26,CIRUELO,,INTRODUCIDA,CAMILO,-33.41715800,-70.652092,CEMENTERIO,BUENO,,,,,,
,1,27,CIRUELO,,INTRODUCIDA,CAMILO,-33.41718700,-70.652097,CEMENTERIO,BUENO,,,,,,
,1,28,CASUARINA,,INTRODUCIDA,CAMILO,-33.41728000,-70.652172,CEMENTERIO,REGULAR,,,,,,
,1,29,CASUARINA,,INTRODUCIDA,CAMILO,-33.41725900,-70.652155,CEMENTERIO,REGULAR,,,,,,
,1,30,CASUARINA,,INTRODUCIDA,DIEGO,-33.41714000,-70.651847,CEMENTERIO,BUENO,,,,,,
,1,31,AISLANTUS,,INTRODUCIDA,DIEGO,-33.41705000,-70.651793,SEPULTURA,BUENO,,,,,,
,1,32,AISLANTUS,,INTRODUCIDA,DIEGO,-33.41703100,-70.651808,SEPULTURA,BUENO,,,,,,
,1,33,AISLANTUS,,INTRODUCIDA,DIEGO,-33.41696300,-70.651747,SEPULTURA,BUENO,,,,,,
,1,34,CIRUELO,,INTRODUCIDA,DIEGO,-33.41699000,-70.651753,CEMENTERIO,REGULAR,,,,,,
,1,35,CIRUELO,,INTRODUCIDA,DIEGO,-33.41692800,-70.651749,CEMENTERIO,MALO,,,,,,
,1,36,JACARANDA,,INTRODUCIDA,DIEGO,-33.41702900,-70.651960,CEMENTERIO,BUENO,,,,,,
,1,37,PALO VERDE,,INTRODUCIDA,DIEGO,-33.41705000,-70.651879,CEMENTERIO,REGULAR,,,,,,
,1,38,FALSA ACACIA,,INTRODUCIDA,DIEGO,-33.41706900,-70.651904,SEPULTURA,MALO,,,,,,
,1,39,OLIVO,,INTRODUCIDA,DIEGO,-33.41698600,-70.651813,CEMENTERIO,REGULAR,,,,,,
,1,40,CASUARINA,,INTRODUCIDA,DIEGO,-33.41704500,-70.651907,CEMENTERIO,BUENO,,,,,,
,1,41,PALO VERDE,,INTRODUCIDA,DIEGO,-33.41698500,-70.651830,SEPULTURA,REGULAR,,,,,,
,1,42,JACARANDA,,INTRODUCIDA,DIEGO,-33.41704800,-70.651788,SEPULTURA,REGULAR,,,,,,
,1,43,PALO VERDE,,INTRODUCIDA,DIEGO,-33.41702200,-70.651783,SEPULTURA,MALO,,,,,,
,1,44,CASUARINA,,INTRODUCIDA,MARIA,-33.41707600,-70.652325,CEMENTERIO,BUENO,,,,,,
,1,45,CASUARINA,,INTRODUCIDA,MARIA,-33.41710400,-70.652388,CEMENTERIO,BUENO,,,,,,
,1,46,CASUARINA,,INTRODUCIDA,MARIA,-33.41709300,-70.652416,SEPULTURA,BUENO,,,,,,
,1,47,CASUARINA,,INTRODUCIDA,MARIA,-33.41696000,-70.652298,CEMENTERIO,BUENO,,,,,,
,1,48,PALO VERDE,,INTRODUCIDA,MARIA,-33.41694300,-70.652337,SEPULTURA,BUENO,,,,,,
,1,49,LIGUSTRO,,INTRODUCIDA,MARIA,-33.41700200,-70.652395,CEMENTERIO,BUENO,,,,,,
,1,50,CASUARINA,,INTRODUCIDA,MARIA,-33.41698200,-70.652365,CEMENTERIO,BUENO,,,,,,
,1,51,ROBLE AUSTRALIANO,,INTRODUCIDA,MARIA,-33.41698000,-70.652253,CEMENTERIO,BUENO,,,,,,
,1,52,CASUARINA,,INTRODUCIDA,MARIA,-33.41713300,-70.652467,CEMENTERIO,REGULAR,,,,,,
,1,53,CASUARINA,,INTRODUCIDA,MARIA,-33.41708100,-70.652454,CEMENTERIO,REGULAR,,,,,,
,1,54,CASUARINA,,INTRODUCIDA,MARIA,-33.41705700,-70.652447,CEMENTERIO,REGULAR,,,,,,
,1,55,CASUARINA,,INTRODUCIDA,MARIA,-33.41705700,-70.652444,CEMENTERIO,BUENO,,,,,,
,1,56,CASUARINA,,INTRODUCIDA,MARIA,-33.41698900,-70.652444,CEMENTERIO,REGULAR,,,,,,
,1,57,CASUARINA,,INTRODUCIDA,MARIA,-33.41698400,-70.652464,CEMENTERIO,BUENO,,,,,,
,1,58,CASUARINA,,INTRODUCIDA,MARIA,-33.41695500,-70.652448,CEMENTERIO,BUENO,,,,,,
,1,59,GRANADO,,INTRODUCIDA,MARIA,-33.41692200,-70.652400,CEMENTERIO,REGULAR,,,,,,
,1,60,PALMERA CANARIA,,INTRODUCIDA,MARIA,-33.41690100,-70.652314,CEMENTERIO,BUENO,,,,,,
,1,61,CASUARINA,,INTRODUCIDA,MARIA,-33.41703300,-70.652237,CEMENTERIO,BUENO,,,,,,
,1,62,CASUARINA,,INTRODUCIDA,MARIA,-33.41710100,-70.652212,CEMENTERIO,BUENO,,,,,,
,1,63,PALMERA CANARIA,,INTRODUCIDA,DANILO,-33.41720200,-70.652255,SEPULTURA,REGULAR,,,,,,
,1,64,CASUARINA,,INTRODUCIDA,DANILO,-33.41724600,-70.652230,CEMENTERIO,BUENO,,,,,,
